name,type,unit,meaning,value/range,remark
survival,nominal,NA,previous name of county,"0 = No, 1 = Yes",NA
name,nominal,NA,passenger's name,NA,NA
pclass,ordinal,NA,ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd",We can use this as a proxy for socio-economic status (SES)
sex,nominal,NA,passenger's gender,"m = male, f = female",NA
age,numerical,year,passenger's age,"[0,80]",NA
sibsp,numerical,person,number of siblings/spouses aboard the Titanic,"[0,8]","siblings = brother, sister, stepbrother, stepsister; spouses = husband, wife (mistresses and fiances were ignored)"
parch,numerical,person,number of parents/children aboard the Titanic,"[0,6]","parents = mother, father; children = son, daughter, stepson and stepdaughter (some children travelled only with nanny, therefore parch = 0 for them)"
ticket,nominal,NA,ticket number,NA,NA
fare,numerical,pound,ticket fare,"[0, 93.5]",NA
cabin,nominal,NA,cabin number,NA,NA
embarked,nominal,NA,port of embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton",NA